District,State,Region,BA Start,BA 5-Year,BA 10-Year,MA Start,MA 5-Year,MA 10-Year,Avg Start Salary,Avg 10-Year Salary,Avg Growth %,Master's Premium,Median Home Price,Median Rent,Student-Teacher Ratio,Licensed Sub Pay,Salary Level Score,Growth Score,Master's Premium Score,Salary Score,Affordability Score,Student-Teacher Ratio Score,Sub Pay Score,Demographic Balance Score,Overall Value Score,Median Home Price per Sq Ft,Price per Sq Ft Score,Other %,Sub Pay Housing Power,Stability Score,Pre-Risk Overall,Risk Multiplier,Risk-Adjusted Note,White %,Hispanic %,Asian %,Black %,Number of High Schools,Number of Middle Schools,Number of Elementary Schools,Other / Specialty Schools,Total Schools Counted,Source URL,Area,Last Verified,lat,lng,Data Confidence
Las Cruces Public Schools,NM,Southern New Mexico,55000,66000,75000,59000,70000,79000,57000.0,77000.0,0.350877,4000,310000,1450,16.1,180,45.0,58.4795,26.6667,46.0512,85.9528,68.4615,74.14,100.0,72.5686,185,96.9231,8,2.4828,100,72.5686,1,"First-pass addition from public salary/housing sources. Verify official step placement, current sub pay, enrollment/budget stability, and district-boundary housing before final public ranking claims.",22,67,1,2,7,9,24,3,43,https://www.lcps.net/documents/departments/human-resources/salary-schedules/salary-schedules-2025-2026/24126443 ; https://www.zillow.com/rental-manager/market-trends/las-cruces-nm/ ; https://www.lcps.net/,"Las Cruces, NM",2026-06-16,32.3199,-106.7637,First-pass entry. Salary schedule and housing inputs should be verified before final ranking decisions.
Rio Rancho Public Schools,NM,Albuquerque / Rio Rancho,56000,67000,76000,60000,72000,81000,58000.0,78500.0,0.353448,4000,350000,1650,16.3,180,47.5,58.908,26.6667,47.3261,80.4493,66.9231,59.09,100.0,70.2553,205,90.7692,8,2.1818,100,70.2553,1,"First-pass addition from public salary/housing sources. Verify official step placement, current sub pay, enrollment/budget stability, and district-boundary housing before final public ranking claims.",40,46,3,3,4,4,11,3,22,https://www.rrps.net/page/salaries ; https://www.zillow.com/rental-manager/market-trends/rio-rancho-nm/ ; https://www.rrps.net/,"Rio Rancho, NM",2026-06-16,35.2328,-106.663,First-pass entry. Salary schedule and housing inputs should be verified before final ranking decisions.
Gilbert Public Schools,AZ,Phoenix East Valley,53530,65000,70000,58500,70000,75500,56015.0,72750.0,0.298759,4970,565000,2250,18.1,150,37.9167,49.7932,33.1333,41.1168,59.6853,53.0769,16.665,100.0,58.3021,285,66.1538,7,1.3333,100,58.3021,1,"First-pass addition from public salary/housing sources. Verify official step placement, current sub pay, enrollment/budget stability, and district-boundary housing before final public ranking claims.",57,27,5,4,7,6,26,4,43,https://www.gilbertschools.net/jobs ; https://www.gilbertschools.net/ ; https://www.zillow.com/rental-manager/market-trends/gilbert-az/,"Gilbert, AZ",2026-06-16,33.3528,-111.789,First-pass entry. Salary schedule and housing inputs should be verified before final ranking decisions.
Queen Creek Unified School District,AZ,Phoenix Southeast Valley,52000,63500,70000,57000,68500,75000,54500.0,72500.0,0.330275,5000,670000,2450,17.8,145,37.5,55.0458,33.3333,42.8077,52.4213,55.3846,9.185,100.0,56.9239,300,61.5385,6,1.1837,100,56.9239,1,"First-pass addition from public salary/housing sources. Verify official step placement, current sub pay, enrollment/budget stability, and district-boundary housing before final public ranking claims.",62,25,4,3,2,4,9,2,17,https://www.qcusd.org/salary-schedules ; https://www.qcusd.org/ ; https://www.zillow.com/rental-manager/market-trends/queen-creek-az/,"Queen Creek, AZ",2026-06-16,33.2487,-111.6343,First-pass entry. Salary schedule and housing inputs should be verified before final ranking decisions.
Vail School District,AZ,Tucson / Vail,50250,62000,69500,55250,67000,75500,52750.0,72500.0,0.374408,5000,370000,1700,18.0,140,37.5,62.4013,33.3333,45.3821,78.1399,53.8462,32.355,100.0,65.1318,220,86.1538,8,1.6471,100,65.1318,1,"First-pass addition from public salary/housing sources. Verify official step placement, current sub pay, enrollment/budget stability, and district-boundary housing before final public ranking claims.",57,28,3,4,5,8,13,2,28,https://www.vailschooldistrict.org/page/salary-guides ; https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2447/Vsd/29f4d404-804a-4c2b-b472-ba188b6c298e/Substitute_Teacher_Salary_Guide_25_26_FY.pdf ; https://www.zillow.com/rental-manager/market-trends/vail-az/,"Vail, AZ",2026-06-16,32.0479,-110.712,First-pass entry. Salary schedule and housing inputs should be verified before final ranking decisions.
West Ada School District,ID,Boise / Meridian,50252,61000,68500,56000,67500,77500,53126.0,73000.0,0.374092,5748,525000,1850,18.9,125,38.3333,62.3487,38.32,46.736,68.4965,46.9231,17.57,90.0,60.0062,260,73.8462,7,1.3514,100,60.0062,1,"First-pass addition from public salary/housing sources. Verify official step placement, current sub pay, enrollment/budget stability, and district-boundary housing before final public ranking claims.",72,16,4,1,9,8,34,4,55,https://www.westada.org/documents/human-resources/salary-schedules/2025-26-salary-schedules/16670860 ; https://teacherquality.nctq.org/contract-database/district/West-Ada-School-District ; https://www.zillow.com/rental-manager/market-trends/meridian-id/,"Meridian / West Ada, ID",2026-06-16,43.6121,-116.3915,First-pass entry. Salary schedule and housing inputs should be verified before final ranking decisions.
Twin Falls School District,ID,Magic Valley,50252,59000,66000,56000,66000,73500,53126.0,69750.0,0.312916,5748,370000,1450,17.2,125,32.9167,52.1527,38.32,40.73,82.1976,60.0,36.205,100.0,65.3155,215,87.6923,7,1.7241,100,65.3155,1,"First-pass addition from public salary/housing sources. Verify official step placement, current sub pay, enrollment/budget stability, and district-boundary housing before final public ranking claims.",61,29,2,1,3,3,9,2,17,https://www.tfsd.org/documents/departments/human-resources/payroll-salaries/700424 ; https://www.tfsd.org/page/payroll ; https://www.zillow.com/rental-manager/market-trends/twin-falls-id/,"Twin Falls, ID",2026-06-16,42.5629,-114.4609,First-pass entry. Salary schedule and housing inputs should be verified before final ranking decisions.
Washoe County School District,NV,Reno / Washoe County,63000,70500,78000,68000,78000,88000,65500.0,83000.0,0.267176,5000,550000,1850,17.4,150,55.0,44.5293,33.3333,47.0019,65.2395,58.4615,31.08,100.0,57.9051,300,61.5385,9,1.6216,75,60.9527,0.95,"First-pass addition from public salary/housing sources. Verify official step placement, current sub pay, enrollment/budget stability, and district-boundary housing before final public ranking claims.",43,41,5,2,23,17,63,8,111,https://www.washoeschools.net/careers/careers/salary-schedules ; https://resources.finalsite.net/images/v1767985515/washoeschoolsnet/ool31tlpda3bmitoudes/2025-26TeacherSalarySchedulewretrowJanuary2026increaseandSB500salarymatch.pdf ; https://www.zillow.com/rental-manager/market-trends/reno-nv/,"Reno / Washoe County, NV",2026-06-16,39.5296,-119.8138,First-pass entry. Salary schedule and housing inputs should be verified before final ranking decisions.
Kern High School District,CA,Central Valley / Bakersfield,65429,83000,98000,70429,89000,105000,67929.0,101500.0,0.494207,5000,395000,1695,21.5,200,85.8333,82.3678,33.3333,74.1204,76.804,26.9231,67.995,90.0,74.2947,230,83.0769,3,2.3599,100,74.2947,1,"First-pass addition from public salary/housing sources. Verify official step placement, current sub pay, enrollment/budget stability, and district-boundary housing before final public ranking claims.",17,70,4,6,19,0,0,5,24,https://www.kernhigh.org/apps/pages/index.jsp?pREC_ID=1082626&type=d&uREC_ID=620577 ; https://www.khsta.org/certificated-salary-schedules-1 ; https://www.zillow.com/rental-manager/market-trends/bakersfield-ca/,"Bakersfield, CA",2026-06-16,35.3733,-119.0187,First-pass entry. Salary schedule and housing inputs should be verified before final ranking decisions.
Clovis Unified School District,CA,Central Valley / Fresno-Clovis,60822,76800,92800,65822,84300,102800,63322.0,97800.0,0.544487,5000,505000,1900,22.8,210,79.6667,90.7478,33.3333,74.2784,68.3829,16.9231,60.525,100.0,72.4188,260,73.8462,11,2.2105,100,72.4188,1,"First-pass addition from public salary/housing sources. Verify official step placement, current sub pay, enrollment/budget stability, and district-boundary housing before final public ranking claims.",37,33,16,3,5,5,34,4,48,https://www.cusd.com/salaries ; https://fresnoland.org/2023/11/09/fresno-teacher-raises/ ; https://www.zillow.com/rental-manager/market-trends/clovis-ca/,"Clovis, CA",2026-06-16,36.8252,-119.7029,First-pass entry. Salary schedule and housing inputs should be verified before final ranking decisions.
